ticket_id,event_type,timestamp,team,category,agent
TKT-1056,ticket_opened,2024-01-01 04:13:36.785689,Team D,Shipping,Michael Hopkins
TKT-1056,first_response,2024-01-01 09:42:34.142871,Team D,Shipping,Michael Hopkins
TKT-1056,ticket_escalated,2024-01-01 12:24:41.762427,Team D,Shipping,Michael Hopkins
TKT-1056,escalation_reviewed,2024-01-01 12:42:22.853916,Team D,Shipping,Michael Hopkins
TKT-1364,ticket_opened,2024-01-01 20:36:21.697425,Team C,Technical,Deborah Mendez
TKT-1364,first_response,2024-01-01 23:13:33.158930,Team C,Technical,Deborah Mendez
TKT-1056,ticket_resolved,2024-01-03 00:28:40.497101,Team D,Shipping,Michael Hopkins
TKT-1056,resolution_confirmed,2024-01-03 03:09:11.400589,Team D,Shipping,Michael Hopkins
TKT-1213,ticket_opened,2024-01-03 09:09:26.738793,Team C,Billing,Julie Pineda DVM
TKT-1329,ticket_opened,2024-01-03 09:12:21.213169,Team B,Technical,Michael Hopkins
TKT-1060,ticket_opened,2024-01-03 11:47:23.272215,Team D,Billing,Melissa Lawrence
TKT-1213,first_response,2024-01-03 12:23:18.261319,Team C,Billing,Julie Pineda DVM
TKT-1060,first_response,2024-01-03 15:00:30.405178,Team D,Billing,Melissa Lawrence
TKT-1329,first_response,2024-01-03 15:08:34.862455,Team B,Technical,Michael Hopkins
TKT-1329,ticket_escalated,2024-01-03 17:14:50.627468,Team B,Technical,Michael Hopkins
TKT-1364,ticket_resolved,2024-01-03 17:52:27.864540,Team C,Technical,Deborah Mendez
TKT-1112,ticket_opened,2024-01-03 20:14:04.471145,Team B,Account,Desiree Warner
TKT-1364,resolution_confirmed,2024-01-03 20:24:28.163756,Team C,Technical,Deborah Mendez
TKT-1329,escalation_reviewed,2024-01-03 22:26:30.838299,Team B,Technical,Michael Hopkins
TKT-1112,first_response,2024-01-04 02:14:30.941167,Team B,Account,Desiree Warner
TKT-1077,ticket_opened,2024-01-04 03:20:56.294879,Team D,Billing,Melanie Colon
TKT-1077,first_response,2024-01-04 03:48:44.777009,Team D,Billing,Melanie Colon
TKT-1112,ticket_escalated,2024-01-04 04:43:04.298714,Team B,Account,Desiree Warner
TKT-1077,ticket_escalated,2024-01-04 05:53:42.467528,Team D,Billing,Melanie Colon
TKT-1077,escalation_reviewed,2024-01-04 06:38:57.002302,Team D,Billing,Melanie Colon
TKT-1112,escalation_reviewed,2024-01-04 10:15:53.923172,Team B,Account,Desiree Warner
TKT-1329,ticket_resolved,2024-01-04 20:17:48.693496,Team B,Technical,Michael Hopkins
TKT-1056,survey_sent,2024-01-04 20:39:12.521390,Team D,Shipping,Michael Hopkins
TKT-1329,survey_sent,2024-01-04 21:35:05.113395,Team B,Technical,Michael Hopkins
TKT-1364,survey_sent,2024-01-05 00:25:48.511695,Team C,Technical,Deborah Mendez
TKT-1060,ticket_resolved,2024-01-05 05:27:30.795390,Team D,Billing,Melissa Lawrence
TKT-1213,ticket_resolved,2024-01-05 05:58:45.124987,Team C,Billing,Julie Pineda DVM
TKT-1077,ticket_resolved,2024-01-05 06:13:04.989288,Team D,Billing,Melanie Colon
TKT-1060,resolution_confirmed,2024-01-05 07:01:23.849459,Team D,Billing,Melissa Lawrence
TKT-1329,resolution_confirmed,2024-01-05 08:13:05.024851,Team B,Technical,Michael Hopkins
TKT-1294,ticket_opened,2024-01-05 08:30:49.395376,Team C,Returns,Robert Moore
TKT-1213,resolution_confirmed,2024-01-05 09:05:39.612645,Team C,Billing,Julie Pineda DVM
TKT-1060,survey_sent,2024-01-05 09:14:09.499959,Team D,Billing,Melissa Lawrence
TKT-1294,first_response,2024-01-05 09:45:37.236490,Team C,Returns,Robert Moore
TKT-1077,resolution_confirmed,2024-01-05 10:57:21.744435,Team D,Billing,Melanie Colon
TKT-1213,survey_sent,2024-01-05 15:40:56.293525,Team C,Billing,Julie Pineda DVM
TKT-1112,ticket_resolved,2024-01-05 17:12:37.323040,Team B,Account,Desiree Warner
TKT-1112,resolution_confirmed,2024-01-05 21:59:38.421778,Team B,Account,Desiree Warner
TKT-1133,ticket_opened,2024-01-06 10:50:22.794527,Team B,Billing,Jonathon Stevens
TKT-1310,ticket_opened,2024-01-06 11:23:12.062423,Team C,Account,Sabrina Ochoa
TKT-1286,ticket_opened,2024-01-06 12:04:30.175933,Team D,Technical,Amanda Joseph
TKT-1286,first_response,2024-01-06 13:14:15.647181,Team D,Technical,Amanda Joseph
TKT-1425,ticket_opened,2024-01-06 13:21:01.358815,Team C,Shipping,Haley Brown
